Section,Topic,Details,"Commands / Paths"
Overview,Project,"The Academy — a GED-focused academic RPG wrapped in a retro CRT desktop metaphor. Players pick starter perks/traits, then study, take assignments, and progress through a simulated 1980s-style institutional operating system.",
Overview,Apps,"Three user-facing artifacts: a React web app (retro CRT desktop OS), an Express API server, and an offline-first Expo mobile companion for Android/iOS.","artifacts/academy/ | artifacts/api-server/ | artifacts/academy-mobile/"
Overview,Monorepo,"pnpm multi-artifact workspace. Packages live under artifacts/* (runnable apps), lib/* (shared libraries), and scripts/. Dependency versions are centralized via the pnpm catalog in pnpm-workspace.yaml.",pnpm-workspace.yaml
Overview,License,MIT — see the LICENSE file at the repository root.,LICENSE
Prerequisites,Node.js,Node.js 24 or newer.,
Prerequisites,pnpm,"pnpm 10+. A preinstall hook rejects npm/yarn — always use pnpm.",package.json (preinstall script)
Prerequisites,PostgreSQL,"A PostgreSQL database is required by the API server. Connection string is provided via DATABASE_URL.",env: DATABASE_URL
Prerequisites,Environment variables,"DATABASE_URL (Postgres), SESSION_SECRET (sessions), and OpenAI credentials for the AI description engine (proxied in the Replit environment).",
Setup,Install dependencies,Run a single install at the repository root; pnpm links all workspace packages.,pnpm install
Setup,Database schema,"Push the Drizzle schema to your database (development only). Use push-force to bypass interactive prompts.",pnpm --filter @workspace/db run push
Architecture,Web frontend,"React 19 + Vite 7 + wouter routing + Radix UI + Tailwind CSS 4. Mounted at base path /. UI entry flow: src/App.tsx -> RetroBootScreen -> NeoCrtDesktopShell.",artifacts/academy/src/App.tsx
Architecture,API server,"Express 5 backend served at /api. Routes are declared with absolute /api/... paths in src/routes/routes.ts and wired via registerRoutes(app) in src/app.ts. Built with esbuild to a CJS bundle.",artifacts/api-server/src/routes/routes.ts | artifacts/api-server/src/app.ts
Architecture,Mobile app,"Expo + expo-router companion app. Offline-first: a deterministic on-device engine powers all gameplay with no connection; the live API only enriches responses when reachable. Each response is tagged online/offline.",artifacts/academy-mobile/app/
Architecture,Shared game engine,"@workspace/game-engine is the single source of truth for offline content, GED templates, and world layout shared by web and mobile.",lib/game-engine/
Architecture,Database layer,"@workspace/db exposes the Drizzle ORM schema. schema.ts is the source of truth for the server.",lib/db/src/schema/schema.ts
Architecture,API contract,"lib/api-spec holds the OpenAPI spec (openapi.yaml). Orval generates React Query hooks (lib/api-client-react) and Zod schemas (lib/api-zod) from it.",lib/api-spec/openapi.yaml
Architecture,Shared frontend modules,"Game modules (schema, perks, stats, curriculum, contentPack) are copied into the web frontend at src/shared/ (imported via the @shared/* alias) rather than shared through a lib, to preserve the legacy import structure.",artifacts/academy/src/shared/
Architecture,AI description engine,"Server-side OpenAI endpoint (gpt-5-mini) enhances text-adventure flavor in two modes: Location mode (atmospheric flavor text) and Examine mode (contextual object descriptions). Results are cached client-side.",artifacts/api-server/src/ai/
Development,Run the API server,"Starts the Express backend on port 5000 (dev script builds then starts with source maps).",pnpm --filter @workspace/api-server run dev
Development,Run the web app,Starts the Vite dev server for the web frontend.,pnpm --filter @workspace/academy run dev
Development,Run the mobile app,Starts the Expo/Metro dev server for the mobile companion.,pnpm --filter @workspace/academy-mobile run dev
Development,Typecheck,"Typechecks shared libs (tsc --build) then every artifact and scripts package.",pnpm run typecheck
Development,Build,Full typecheck plus builds for all packages.,pnpm run build
